id,unassigned_lead_id,assigned_to_user_id,assigned_date,assigned_at,assigned_by,status,processed_at,added_to_crm
1,1,5,2025-07-05,2025-07-05 08:01:30.804462,1,Added to CRM,2025-07-05 08:03:59.938344,True
2,5,5,2025-07-05,2025-07-05 08:26:51.294756,1,Added to CRM,2025-07-05 08:27:17.741006,True
3,7,5,2025-07-05,2025-07-05 08:45:31.364700,1,Added to CRM,2025-07-05 08:46:06.806591,True
4,6,2,2025-07-05,2025-07-05 08:55:42.355202,1,Added to CRM,2025-07-05 08:57:47.397769,True
5,8,9,2025-07-05,2025-07-05 09:34:30.828031,1,Added to CRM,2025-07-05 09:35:23.418168,True
6,9,9,2025-07-05,2025-07-05 09:39:43.212343,1,Assigned,,False
8,11,5,2025-07-05,2025-07-05 10:22:25.312786,1,Assigned,,False
7,10,9,2025-07-05,2025-07-05 09:54:27.751150,1,Added to CRM,2025-07-05 10:43:11.057712,True
9,12,4,2025-07-05,2025-07-05 11:36:59.247168,1,Added to CRM,2025-07-05 12:02:32.129776,True
10,13,5,2025-07-06,2025-07-05 20:31:34.350011,1,Assigned,,False
11,14,5,2025-07-06,2025-07-05 20:33:10.348149,1,Assigned,,False
12,15,5,2025-07-06,2025-07-05 20:35:59.364457,1,Assigned,,False
13,16,5,2025-07-06,2025-07-05 20:42:16.745097,1,Assigned,,False
14,17,5,2025-07-06,2025-07-05 20:42:49.839692,1,Assigned,,False
15,18,5,2025-07-06,2025-07-05 20:46:52.259384,1,Assigned,,False
16,19,5,2025-07-06,2025-07-05 21:33:13.641959,1,Assigned,,False
17,20,5,2025-07-06,2025-07-05 22:11:59.433785,1,Assigned,,False
18,21,5,2025-07-06,2025-07-05 22:13:11.059231,1,Assigned,,False
19,22,5,2025-07-06,2025-07-05 22:20:40.449630,1,Assigned,,False
21,24,9,2025-07-06,2025-07-06 04:55:46.163357,1,Assigned,,False
22,25,9,2025-07-06,2025-07-06 04:56:05.700154,1,Assigned,,False
23,26,9,2025-07-06,2025-07-06 04:58:04.880695,1,Assigned,,False
24,27,9,2025-07-06,2025-07-06 04:58:23.542674,1,Assigned,,False
25,28,9,2025-07-06,2025-07-06 04:59:04.159815,1,Assigned,,False
20,23,9,2025-07-06,2025-07-06 04:53:48.540224,1,Added to CRM,2025-07-06 05:13:58.682792,True
26,29,9,2025-07-06,2025-07-06 06:24:37.194343,1,Assigned,,False
27,30,9,2025-07-06,2025-07-06 08:08:02.495570,1,Assigned,,False
29,32,4,2025-07-07,2025-07-07 03:53:17.321067,1,Assigned,,False
30,33,4,2025-07-07,2025-07-07 03:54:15.681290,1,Assigned,,False
31,34,4,2025-07-07,2025-07-07 03:57:20.840594,1,Assigned,,False
32,35,4,2025-07-07,2025-07-07 03:58:09.643896,1,Assigned,,False
33,36,4,2025-07-07,2025-07-07 03:59:19.039838,1,Assigned,,False
38,41,9,2025-07-07,2025-07-07 04:13:15.307634,1,Assigned,,False
36,39,9,2025-07-07,2025-07-07 04:11:50.016258,1,Added to CRM,2025-07-07 05:09:09.271426,True
34,37,9,2025-07-07,2025-07-07 04:10:29.451639,1,Added to CRM,2025-07-07 05:39:17.143364,True
44,47,9,2025-07-07,2025-07-07 05:42:38.913667,1,Assigned,,False
39,42,6,2025-07-07,2025-07-07 05:29:42.437542,1,Added to CRM,2025-07-07 05:45:05.775581,True
28,31,4,2025-07-07,2025-07-07 03:52:08.854400,1,Added to CRM,2025-07-07 05:47:26.276809,True
41,44,6,2025-07-07,2025-07-07 05:32:15.641450,1,Added to CRM,2025-07-07 05:47:36.867975,True
35,38,9,2025-07-07,2025-07-07 04:11:08.862385,1,Added to CRM,2025-07-07 05:48:34.560364,True
42,45,6,2025-07-07,2025-07-07 05:33:21.839950,1,Added to CRM,2025-07-07 05:49:18.160884,True
43,46,6,2025-07-07,2025-07-07 05:41:49.749304,1,Added to CRM,2025-07-07 06:03:52.024921,True
47,50,9,2025-07-07,2025-07-07 06:04:08.829771,1,Assigned,,False
45,48,6,2025-07-07,2025-07-07 05:43:32.381561,1,Added to CRM,2025-07-07 06:06:07.366422,True
46,49,6,2025-07-07,2025-07-07 05:45:07.541013,1,Added to CRM,2025-07-07 06:16:37.025392,True
48,51,6,2025-07-07,2025-07-07 07:44:07.681788,1,Added to CRM,2025-07-07 07:48:13.236979,True
49,52,9,2025-07-07,2025-07-07 07:58:20.188383,1,Assigned,,False
50,53,5,2025-07-07,2025-07-07 07:58:45.425797,1,Assigned,,False
51,54,2,2025-07-07,2025-07-07 08:22:36.036639,1,Added to CRM,2025-07-07 09:05:11.237829,True
53,56,9,2025-07-07,2025-07-07 09:14:39.118881,1,Assigned,,False
54,57,9,2025-07-07,2025-07-07 09:15:51.478933,1,Assigned,,False
37,40,9,2025-07-07,2025-07-07 04:12:43.090350,1,Added to CRM,2025-07-07 09:32:20.353993,True
52,55,6,2025-07-07,2025-07-07 09:14:01.501885,1,Added to CRM,2025-07-07 10:28:36.251460,True
40,43,6,2025-07-07,2025-07-07 05:30:34.817517,1,Added to CRM,2025-07-07 10:28:54.438743,True
55,58,6,2025-07-07,2025-07-07 10:30:30.359759,1,Added to CRM,2025-07-07 10:34:27.399442,True
56,64,8,2025-07-28,2025-07-28 12:14:14.431870,1,Assigned,,False
57,65,4,2025-07-28,2025-07-28 12:14:57.726406,1,Added to CRM,2025-07-28 12:15:51.992172,True
58,66,5,2025-07-28,2025-07-28 12:16:19.379231,1,Added to CRM,2025-07-28 12:16:35.222931,True
59,68,5,2025-07-29,2025-07-29 06:12:17.354582,1,Assigned,,False
